word,meaning
bags,"&quot;שקיות&quot;, קפלי עור דמוי שקית תחת העיניים הנגרמים מעייפות; מכנסיים (סלנג)"
baiza,"באיזה, יחידת מטבע של עומאן"
bakkie,"מכונית מסחרית קטנה או טנדר קטן; (מונח בשימוש בדרום אפריקה) מיכל, אגן"
balalaika,"בללייקה (כלי מיתר עממי רוסי)"
"balance error","טעות איזון"
balderdash,"שטויות"
balefulness,"איבה"
balk,"לסרב להתקדם; להסס; להירתע לעמוד בדרכו, לסכל"
"ball bearing","מסב כדורי"
"ball point pen","עט כדורי"
ballooning,"התרחבות, מילוי, התנפחות; נסיעה או ניווט בכדור פורח; להפוך במהירות לגדול יותר ויותר"
"balm of gilead","צרי גלעד"
balminess,"נעימות, רוגע; ריחניות"
balsa,"בלסה (עץ קל לבניית מטוסים, רפסודות וכו'); רפסודה"
bandage,"תחבושת, רטייה"
banderol,"סרט נייר; דגלון; בנדרולה; דגל הנישא בלוויות, דגל לכיסוי מצבה; סרט התלוי מכידון שנושא אביר"
"banged into","נתקל ב-, חטף זץ מ-"
bankbook,"פנקס-הפקדות"
"banking laws","דיני בנקאות"
bankroll,"לממן (סלנג)"
banter,"התבדחות"
banter,"להתלוצץ"
baptismally,"ע&quot;י הטבלה, באמצעות הטבלה (טקס נוצרי)"
barbecued,"קלוי, צלוי; מבושל ברוטב ברביקיו; בטעם ברביקיו"
barber-shop,"מספרת גברים"
barge,"לנוע בכבידות"
barkhan,"דיונת חול בצורת חצי-סהר"
"barlow knife","&quot;סכין בארלו&quot;, אולר בעל שני להבים"
"barn swallow","סנונית הרפתות"
barndoor,"וסת אור (בצילום)"
baroque,"של או השייך לסגנון הבארוק"
barrio,"פרבר (מספרדית)"
barye,"מיקרובר (יחידת לחץ)"
baseband,"פס בסיס, שיטת שידור אשר בה הסיגנל מועבר ישירות בצורה דיגיטלית ללא אפנון (מתאימה לשידור רק בטווח קצר)"
baseline,"קו ההתחלה; (בדפוס) שורת הבסיס , השורה הדמיונית שעליה מסודרות האותיות (בלי חלקיהן היורדים של האותיות g, y, p, q, j); קו אחורי, הקו אשר תוחם כל אחד מקצות מגרש (טניס); מסלול ריצה שעובר השחקן בין כל הבסיסים (בייסבול)"
basement,"קומת-מרתף"
"basic price","מחיר יסודי, תעריף בסיסי"
bastardize,"['bas·tard·ize || 'bɑːstədaɪz]<br>לממזר, להכריז כממזר; לשבש (לשון); להשפיל"
bathometer,"בתומטר, מד-עומק, מכשיר למדידת עומקים"
bathtub,"אמבטיה"
"battery of tests","סדרת מבחנים"
battleship,"אניית-קרב"
bawl,"לצרוח, לצעוק; לבכות; לגעור"
bay,"לנבוח"
"be a match for","להיות יריב שקול ל-"
"be abandoned","להיעזב, להיות מושאר מאחור, להינטש, להיזנח"
"be absorbed in a book","לשקוע בספר, להתלהב מאוד מספר"
"be accepted","להיות מקובל, להיות פופולרי עם אנשים"
"be accused of","להיות מואשם ב-"
"be active","להיות עסוק, להיות אנרגטי, להיות מלא חיים"
"be advanced to the rank of","להיות מועלה בדרגה"
"be at leisure","להיות חופשי, להיות פנוי"
"be elected to","להיבחר"
"be emceeing","לככב כראש טקס"
"be fond of","לחבב מישהו, להביע חיבה כלפי מישהו"
"be graphic","לתאר בפרטי פרטים"
"be greatly indebted to someone for","להיות מאוד אסיר תודה על"
"be hardly cold in one's grave","זה עתה נפטר"
"be in a frenzy","להיות כמרקחה"
"be in deep water","להיות בצרה גדולה"
"be keen on","להיות להוט אחרי"
"be madly in love","להיות מאוהב עד מעל לראש, להיות משוגע אחרי"
"be near the end","להיות קרוב לקץ"
"be of age","להגיע לגיל מסוים"
"be one's father's son","לדמות לאב"
"be parched with thirst","מיובש מצמא"
"be right back","מיד אשוב (בשיחות באינטרנט)"
"be slack in one's duties","להתרשל במילוי המוטל עליו"
"be sworn in","להישבע אמונים לתפקיד"
"be up to","לזמום ל-; להיות מוכן ל-; להיות מסוגל ל-"
beachcomber,"סורק את החוף למצוא מציאות"
beadle,"עוזר ראש עיר; שמש; עוזר-כומר"
"bear false witness","להעיד עדות שקר"
"bear fruit","להניב פרי"
beardless,"נטול זקן"
beat,"מכה; מקצב; נקישה; פעימה; מסלול; השטח הרגיל, סמכות שיפוטית קבועה; &quot;סקופ&quot;, ידיעה המתפרסמת בעיתון מסוים מוקדם יותר מאשר בעיתונים המתחרים (עיתונאות)"
beat,"להכות; להלום; לרקע מתכת; לגבור על"
"beat the living daylights out of him","דפק לו את הצורה , הכניס לו מכות רצח"
"beat up","הכה, הכניס מכות"
"became more valuable","עלתה קרנו, עלה ערכו"
"become a Jew","להתגייר"
"become adept","להפוך למומחה, להיות מיומן"
"becoming deaf","התחרשות, איבוד השמיעה"
"becoming infected","הידבקות, הזדהמות (במחלה וכו')"
"becoming ugly","התכערות (הפיכה למכוער, היעשות מכוער)"
"becoming warped","הסתלפות, התעקמות, התעוותות"
"bed jacket","נמנמה"
bed-wetting,"הרטבת לילה"
bedframe,"מסגרת המיטה, מסגרת מלבנית גדולה המהווה את בסיס המיטה (כוללת את לוח למראשות המיטה, מעקי המיטה ואת משען-הרגל)"
bedmate,"חבר, ידיד, בעל-ברית; שותף למיטה"
"bedside table","ארון-לילה"
bedsitter,"דירת חדר מרוהטת עם מטבחון, דירת סטודיו"
bedsock,"(בריטי) גרב אחת מתוך זוג של גרביים עבות הנלבשות במיטה כדי לשמור על חום כפות הרגליים"
"bee garden","כוורת; מכוורת"
beefsteak,"אומצה, סטייק"
"beet-root soup","חמיצה, בורשט (מיץ סלק, מרק סלק חמוץ)"
beeves,"בקר אותו מגדלים עבור בשר לאכילה, יונקים הולכי-על-ארבע ממשפחת השוורים"
befrill,"לקשט בגדילים, לעטר בציצים"
"beg leave","befittingלשאול האם אפשר, לבקש רשות"
begild,"בעל שכבת זהב; מעוטר עם זהב או נראה ככזה"
"beginning inventory","מלאי סגירה (המלאי בסיום תקופה חשבונאית)"
"behave like a madman","להתנהג כמטורף"
"behave regularly","לנהוג כהלכה"
"being assimilated","היטמעות (היות נטמע, אסימילציה, היספגות, היקלטות)"
"being cut","היחתכות (הצטלבות, חצייה, צומת; היות חתוך, היות מבותר, היבצעות, היגדעות, התקצצות)"
"being in the same boat","שותפות גורל"
"being insulted","היעלבות (היות נעלב, היות פגוע, היפגעות, היכלמות)"
"being selected","היבחרות (בחירה, בחירות, הצבעה; היות נבחר, היות בחור, היות המועדף, קבלת מספר הקולות הרב)"
belch,"לפלוט (עשן); לגהק"
belittling,"מתקיף, מעליב, מזלזל; מקטין, מפחית"
"bell rope","חבל המשמש לצלצל בפעמון (פעמון כנסייה וכו')"
belligerency,"מצב מלחמה"
benightedness,"אפילה; בורות"
benignant,"נוח, נעים"
benzyl,"בנזיל-, בנזילי (בכימיה:מכיל את קבוצת הבנזילים)"
"bereaved families","משפחות שכולות"
bergenia,"צמח קרקע רב-שנתי הפורח מוקדם בעל עלים גדולים ופרחים סגולים או אדומים או וורודים"
berhyme,"להלל בפיוט"
"best bib and tucker","מיטב המחלצות, בגדי חג, הבגדים הנאים והיפים ביותר שיש לאדם"
"best way possible","בצורה המוצלחת ביותר, הכי טוב שאפשר, על הצד הטוב ביותר"
betrayal,"בגידה"
"betrayal of trust","מעילה באמון"
"better understanding","הבנה טובה יותר"
betting,"הימורים, התערבויות"
betting,"הימור"
bettong,"(זואולוגיה) חיית-כיס אוסטרלית קטנה עם חוטם קצר"
"between a rock and a hard place","בין הפטיש והסדן"
betweens,"(תפירה) מחט קצרה המשמשת ליצירת תפרים עדינים בבד עבה"
betwixt,"לא זה ולא זה"
bevy,"קבוצה; להקה"
bewitching,"מכשף"
"beyond capacity","מעבר לקיבולת"
"beyond one's understanding","נבצר מלהבין, מעבר להבנה"
bhikkhu,"ביקהו, נזיר בודהיסטי"
biarticular,"דו-מפרקי; של שני מפרקים"
bias,"דעה קדומה; נטה"
biased,"משוחד, מוטה, בעל דעה קדומה"
biauricular,"של שני חדרי הלב; כפול אוזן"
bibliophobe,"ביבליופובי, אחד השונא או הפוחד מספרים"
bicycler,"רוכב אופניים"
"bid welcome","לקבל בסבר פנים יפות"
bienale,"ביאנלה (כינוס של אמנים בתחום מסוים)"
"big bang","המפץ הגדול, ביג בנג , תאוריה מדעית מקובלת לפיה היקום נוצר ע&quot;י התפוצצות אדירה של חומר קדמון דחוס ביותר שהתרחשה לפני מיליארדי שנים (אסטרונומיה)"
"big red switch","המתג האדום הגדול, כינוי למתג ההפעלה של המחשב"
"big top","אוהל קרקס; אוהל בד גדול (כמו זה שבו נערכים קרקסים)"
bigotry,"קנאה עיוורת"
"bill of sale","שטר-מכר"
"billed him","הגיש לו חשבון"
"billing date","מועד הגשת החשבון (התאריך בו נערך או פורסם החשבון)"
billion,"ביליון; מיליארד"
billionaire,"מיליארדר"
"binary numbers","מספרים בינאריים"
bioassay,"ביואסאי (הגדרת פעילות ביולוגית של חומר ע&quot;י בדיקת השפעתו על צמיחת אורגניזמים)"
"biological clock","שעון ביולוגי"
biologist,"ביולוג (עוסק בביולוגיה, עוסק בחקר החיים)"
biology,"ביולוגיה (חקר החיים)"
biomechanics,"ביומכניקה (שימוש בעקרונות המכניקה לחקר תנועה באורגניזם)"
"biomedical engineer","מהנדס ביו-רפואי"
bioscience,"מדע החיים"
bipartisanship,"דו-מפלגתיות"
birch,"לייסר במקל"
"bird sanctuary","מחסה או מקלט ציפור, בניין או חלקת אדמה המוקצים למחסה או הגנת ציפורים"
bistre,"צבען אפרפר עד חום-צהבהב על בסיס מים בעל שימוש באמנות; צבע אפרפר עד חום-צהבהב"
bisulfite,"גופרית חומצית"
"bite and sup","ארוחה קלה"
"bite the hand that feeds","להתנהג בחוסר כבוד אל האדם המטפל בו, לנהוג בגסות במי שמספק את צרכיו, להשיב למישהו בכפיות-טובה"
bitten,"נשוך; מכורסם, כסוס"
"bitter tonic","טוניק בעל טעם מר המעורר את התיאבון ומשפר את העיכול"
biventral,"דו-בטני"
bivouac,"מחנה ארעי"
biz,"[bɪz]<br>ביז, ביזנס, עסק (קיצור)"
bizonal,"דו אזורי"
black,"שחור, מלוכלך, קודר"
"black area","תחום שחור; תחום אסור; אזור מסוכן"
"black grouse","תרנגול-בר שחור"
"black money","כסף שחור"
blackavized,"שחום פנים"
blackball,"להצביע נגד קבלת חבר למועדון"
blackguardly,"בצורה נבזית, כדבר ארור"
"blank credit","אשראי לא מוגבל"
blankly,"ללא הבעה; ישירות"
blast,"התפוצצות; זרם אוויר; הדף; שריקה"
blastocyst,"בועית הזרע, בועית הנבט"
blaze,"להבה; אור מבהיק; התלקחות"
"bleaching agent","חומר מלבין, תרכובת הגורמת לבדים או לחומרים אחרים להלבין או לאבד את צבעם (כגון מלבין)"
bleat,"פעיית כבש, פעייה"
bleeding,"דימום"
"blew in the wind","עף ברוח, התבדר ברוח"
"blind man's buff","פרה עיוורת, תופסת (משחק ילדים)"
blindage,"כיסוי לשוחה עשוייה מאדמה או בטון (צבאי)"
blip,"למחוק משידור"
bliss,"אושר; שימחה"
blister,"בועה; אבעבועה, כווייה; מצפה במפציץ"
"block operation","פעולה על בלוק, ביצוע פקודה על קטע שלם בבת-אחת"
blonde,"בהירה"
"blood sample","דגימת דם"
bloodroot,"סוג של כלנית (פרח)"
"bloodshot eyes","עיניים אדומות ונפוחות (מחוסר שינה או עייפות)"
bloody,"ׁ(אנגלי) מאוד, ביותר, באופן מודגש"
"bloody battle","קרב עקוב מדם"
blooey,"(סלנג) לקוי, ניזוק, פגום, מקולקל"
bloom,"פרח; פריחה; זוהר; אבקה, דוק"
blot,"להכתים; לספוג בנייר סופג"
"blotted him out","מחה את זכרו"
"blotting pad","מספג"
"blow in","להתחיל להפיק נפט (מתייחס לבארות נפט); להגיע בהפתעה"
"blow out","לכבות"
blowdown,"שאיבת מים מדוד-חימום על מנת לסלק חומרים מוצקים שהצטברו בו"
blowhard,"רברבן"
"blowing one's nose","קינוח האף, מחיטת החוטם"
blown,"חסר-נשימה"
bludger,"(סלנג ניו זילנדי ואוסטרלי) &quot;שנורר&quot;, בטלן, עצלן; מתחמק, אדם המשתמט ממילוי חובותיו"
"blue Monday","יום שני העצוב {שבו מתחיל שבוע העבודה בחו&quot;ל לאחר פגרת סוף השבוע}"
"blue cheese","&quot;בלו-צ'יז&quot;, גבינת עובש, סוג של גבינה המכילה עובש כחול"
"blue riband","(שימוש בריטי) סרט כחול, אות כבוד הניתן למנצח בתחרות, פרס ראשון"
blue-green,"טורקיז"
bluff,"קשוח ולבבי, פשוט"
bluffy,"שעולה בתלילות; פשוט-הליכות ובעל מזג טוב"
blurred,"מטושטש"
"boarding pass","כרטיס עלייה למטוס, כרטיס שמקבל כל נוסע העולה למטוס לאחר שנרשם לטיסה בחברת תעופה (בכולל את: שמו, יעד הטיסה, מספר המושב וכו')"
boardsailing,"גלישת-רוח, גלישה על גלשנים ע&quot;י שימוש ברוח לכיוון המפרש (ספורט)"
bobbysockser,"נערה צעירה בגיל העשרה הלובשת גרבי &quot;בובי&quot;; נערה צעירה בגיל העשרה בשנות ה-40 וה- 50 (סלנג)"
bobsledder,"נוסע במגררת"
boccaccio,"סוג דג"
"bode well","לבשר טובות"
bodice,"לסוטה, חלקה העליון של שמלה"
"bodily injury insurance","ביטוח נזקי גוף"
boho,"(סלנג) בוהמיין, איש-רוח או אמן המנהל אורח חיים לא שגרתי"
"boiling temperature","טמפרטורת רתיחה"
bola,"שרשרת כדורים, סוג נשק המשמש ללכידת בהמות"
bolide,"מטאור מתפוצץ"
bolster,"לתמוך, לחזק"
bolt,"פתאום; לגמרי"
bolting,"להבריג, להדק על ידי בורג; להבריח, לנעול על ידי בריח; לנפות קמח או אבקה"
bombard,"להפגיז, להמטיר אש"
bombasine,"אריג המיוצר ממשי ומצמר"
"bon soir","ערב טוב"
bonkers,"(סלנג) משוגע, מטורף, &quot;דפוק בשכל&quot;, בלתי שפוי"
bonnethead,"ראש-מצנפת, זן לא מזיק של כרישי פטישן החיים במים רדודים באוקיינוס האטלנטי ובאוקיינוס השקט (ידוע כמו כן כ-כריש מצנפת, ראש-את)"
bonze,"בונז, נזיר בודהיסטי"
booger,"גוש מלחת האף"
"book lover","חובב קריאה, יודע ספר"
"book reviewer","מבקר ספרותי"
"book token","שובר לרכישת ספר"
bookend,"מאחוזת ספרים"
boomerang,"לפעול כבומרנג"
boost,"דחיפה; דחיקה; הרמה; תמריץ; עידוד"
bord,"קרש, לוח עץ שטוח; שולחן; מעבר בתוך מכרה המרופד בפחם מוצק; משטח פחם המשתרע במקביל למשטחי ההתבקעות"
border,"גבול; שפה, קצה; (במחשבים) המסגרת המקיפה את שטח חלון היישום"
borderless,"חסר גבולות, שאין לו תחום; חסר קצוות"
borderline,"קו גבולי, בקצה , המתקרב לגבול; מוטל בספק; על הגבול בין השטחים"
borecole,"כרוב עלים"
boric,"של בור"
botanical,"בוטני, של צמחים"
bottleneck,"לעצור, להאט, להפריע לתנועה (כמו בצוואר הבקבוק)"
bounce,"ניתור; התרברבות"
"bowing down","השתחוות, קידה, כניעה, התכופפות"
bowlegged,"עקום-רגליים"
bowler,"מגבעת; בכדורת: מגלגל הכדור"
boxlike,"דמוי ארגז או תיבה"
boyhood,"נערות; נעורים"
bracteate,"צלחת או כלי אחר או מטבע מקושטים זהב או כסף"
brag,"להתרברב"
"brain fever","דלקת המוח"
"brain scan","מיפוי מוח"
"brain sick","משוגע, לא-שפוי"
brainchild,"יציר מוח, המצאה, רעיון מקורי"
brainsickness,"שיגעון, טירוף, אי-שפיות"
brancard,"אלונקה; מצע-קש לסוסים (ארכאי)"
brasserie,"מסבאה, מסעדה"
brattiness,"ילדותיות, התנהגות של ילד רע"
brawniness,"שריריות"
brazilwood,"סוג של עץ טרופי ממנו מפיקים צבע אדום; העץ (חומר הגלם) המתקבל מעץ זה"
"breach of public peace","הפרת הסדר הציבורי"
breadboard,"קרש-חיתוך ללחם"
"break camp","לפרק מחנה"
"break even","לסיים ללא הפסדים; לגמור בתיקו"
"break ground","לחרוש; להתחיל לפעול"
"break the ice","לשבור את הקרח"
"break wind","להפליץ"
"breaking into","פריצה ל-, התפרצות ל-; פריצה ב-"
"breaking out of a detention house","בריחה מבית-מעצר"
breakthrough,"פריצת דרך; הבקעה"
"breast milk","חלב אם"
breathalizer,"מכשיר המשמש את המשטרה לבדיקת רמת האלכוהול בנשימה של נהג רכב בכדי לקבוע אם הוא אכן שיכור"
breathalyzer,"[breath·a·lyz·er || 'breθəlaɪzə]<br>מכשיר המשמש את המשטרה לבדיקת רמת האלכוהול בדם של נהג רכב בכדי לקבוע אם הוא שיכור (גם breathalyser)"
breathtaking,"עוצר נשימה"
brettice,"מחיצה בפיר של מכרה התומכת בקירות ובתקרה"
brickwork,"מבנה-לבנים"
bridegroom,"חתן, ארוס"
"bright color","צבע עליז; צבע בהיר"
brighten,"להאיר, להבהיר; להתבהר"
brightener,"מבהיר"
"brim of a hat","תיתורת, שולי הכובע"
"brim over","להציף, לגלוש, לעבור על גדותיו"
brimmer,"כוס או ספל המלאים עד שפתם"
"bring coals to Newcastle","להביא קרח לאסקימוסים, להביא דבר בלתי נחוץ, להביא דבר שאינו דרוש מאחר שהוא כבר נמצא בשפע; לבזבז זמן לריק, לעשות עבודה מיותרת"
"bring forward","להעלות (נושא); להציע, להגיש; להקדים"
"bring home the bacon","(סלנג) &quot;להביא הביתה בשר&quot;, לפרנס את המשפחה, לספק את צורכי בני הבית"
"bring oneself into disrepute","להוציא לעצמך שם רע"
brinkmanship,"מדיניות של הליכה על חבל דק"
broad,"רחב; מקיף"
broad,"בחורה (סלנג)"
"broad interpretation","פירוש רחב"
brochette,"שיפוד קטן; סיכה, פריפה"
broil,"קטטה, מריבה"
"broke apart","נפרדו, חל ביניהם נתק"
"broke his spirit","שבר אותו, שבר את רוחו"
"broke his teeth","שבר לו את השיניים"
bromate,"להפוך לברומט (מלח חומצת ברום)"
broncho,"סוס בר, ברונקו"
bronco,"סוס בר, ברונקו"
brontosaurus,"ברונטוזאורוס (סוג דינוזאור צמחוני)"
brook,"פלג"
brownout,"איפול חלקי; (במחשבים) ירידת מתח"
brummagem,"מטבע מזויף המיוצר בבירמינגהם (עיר בבריטניה); מטבע מזויף; תכשיטים זולים"
bruschetta,"ברוסקטה, לחם איטלקי קלוי מרוח בשמן זית ושום"
brusquely,"במהירות; בגסות"
brutalization,"התאכזרות, התעללות, התנהגות גסה; התבהמות, היעשות בהמי, התנהגות כבהמה, התנהגות וולגרית, ברוטאליות, התנהגות חייתית; מצב של היות זוכה ליחס גרוע (גם brutalisation)"
brutalness,"ברוטאליות (אכזריות, גסות)"
btry,"תא חשמלי, תא הנושא מטען חשמלי"
bub,"(סלנג) חבר, &quot;אח&quot;, ידיד; ברנש; פנייה לא רשמית של ילד"
bubbler,"מזרקה למי שתייה"
bucketing,"פעולה לא-חוקית בה מתווך מסכים עם הלקוח על מחיר מכירה או קנייה אך מבצע את הפעולה במחיר שונה מהמחיר המוסכם ומשלשל את ההפרש לכיסו ועל ידי כך מגדיל את רווחיו האישיים במקום לפעול לטובת הלקוח"
buckishly,"בגנדרנות; בקוצר רוח"
bucko,"רברבן, שחצן, גאוותן; (סלנג אירי) נער, בחור, צעיר, עלם"
buckpasser,"אדם שמעביר את האחריות למישהו אחר"
bucksaw,"משור מסגרת"
buffoonish,"מוקיוני"
bugger,"קריאה המבטאת מטרד; ביטוי הנמצא בשימוש כמשהו משתבש"
bugger,"לעשות מעשה סדום"
"build-your-own home","בנה ביתך"
buildable,"שניתן לבנותו, שניתן להרכיבו, שניתן להקימו"
"built in pointing device","התקן הצבעה מובנה, כדור עקיבה או מוט ניתן להזזה המחוברים למארז מחשב נישא"
bulkhead,"מחיצה אטימה של אנייה"
"bulletin board","לוח מודעות"
bullheaded,"עקשן, קשה-עורף"
bullwhip,"שוט לפרים"
bum,"קבצן, בטלן; ישבן (סלנג בריטי)"
bumbershoot,"(סלנג משעשע) מטרייה"
"bumper harvest","קציר גדול ושופע"
"bunch of grapes","אשכול ענבים"
"bunch of keys","חופן מפתחות, צרור מפתחות"
bundle,"לאגוד; לארוז; לדחוס"
bunfight,"(סלנג בריטי) מסיבת תה גדולה או רשמית; סעודה חגיגית, מסיבה חגיגית; קבוצת אנשים רועשת ובלתי-מאורגנת; מאבק קטן בין קבוצת אנשים; וויכוח (סלנג)"
"bungee jumping","קפיצת בנג'י (קפיצה ממקום גבוה כשהקופץ קשור לכבל אלסטי ארוך מאוד)"
buntal,"בונטל, קש מעץ דקל פיליפיני"
bureaucratist,"אדם התומך בבירוקרטיה, אדם המעודד יצירת בירוקרטיה"
burglarproof,"חסין מפני גניבה"
burgonet,"סוג של קסדת פלדה שהייתה נפוצה המאה ה-16"
"buried deep in the ground","קבור עמוק באדמה"
"burn down","לשרוף כליל; להשמיד"
"burn tires","להבעיר צמיגים"
burnet,"כל אחד ממספר צמחים בעל פרחים כשל וורד הבר"
"burnt at the stake","העלה על המוקד"
"burnt offering","קרבן עולה, עולה (סוג קרבן, זבח)"
burp,"לגהק; להגהיק תינוק"
burrito,"(מאכל מקסיקני) בוריטו, טורטילית קמח המקופלת שבתוכה מילוי בשר או גבינה או שעועית"
business,"עסקים, עסק; עניין; תנועות והבעות בהצגה"
"business trip","נסיעה למטרת עסקים"
buskin,"סנדל יווני; מגף"
but,"רק; בקושי"
"but then","אולם מצד שני, אבל מאידך"
"but you knew that","&quot;אבל ידעת את זה&quot;, &quot;אל תעשה את עצמך, זה היה ידוע לך היטב&quot; (קיצור באינטרנט)"
butcher,"קצב, שוחט, בעל איטליז; רוצח"
"butter up","להתחנף, להחניף למישהו במטרה לקבל יחס מועדף או טובה כלשהיא על ידי התנהגות מתרפסת וכנועה כלפיו"
butterbean,"קטניה ירוקה זעירה ושטוחה הדומה לשעועית לימה"
"butterfly knife","באליסונג, סכין בטנגס, אולר פיליפיני מתקפל עם להב ושני חלקים נעים דמויי-ידית"
buttermilk,"חובצה, חלב-חמאה"
butyric,"של חמאה"
"buy cheap and sell dear","לקנות בזול ולמכור ביוקר"
"buy off","לשחד"
"buy one get one free","קנה אחד קבל אחד במתנה, קנה פריט אחד וקבל את השני בחינם"
"buy votes","קניית קולות, שיחוד בוחרים"
"by easy stages","למרחקים קצרים; בנחת"
"by proxy","באמצעות שליח, ע&quot;י מייצג"
"by touch","ע&quot;י מישוש, באמצעות נגיעה"
"by train","ברכבת"
by-bidding,"ניפוח מחירים"
cabby,"נהג מונית"
cacao,"קקאו"
cachou,"(מצרפתית) סוכריה הממתיקה את הפה ומונעת ריח רע מהפה"
cackhanded,"(על אדם) המפיל או שובר דברים לעתים קרובות"
cackle,"קרקור; צחוק רם; פטפוט"
cacology,"בחירה או שימוש לא נכונים של מילים"
cadillace,"(סלנג) להשתחרר, לקחת את זה בקלות, להירגע"
caecum,"המעי העיוור"
caffein,"קפאין, תרכובת חנקן המצויה בצמחי הקפה והתה, חומר מעורר"
caffeine-poisoning,"הרעלת קפאין"
caffeol,"שמן ארומטי המיוצר על ידי קליית קפה"
calamity,"שואה, אסון"
calcific,"מכיל סיד"
caldera,"קלדרה, לוע רחב מאוד של הר געש"
caldron,"קדירה"
caledonian,"של או השייך לקלדוניה או סקוטלנד"
"calf's foot jelly","רגל קרושה (מאכל יהודי העשוי ממח-עצם קרוש)"
calisaya,"סוג עץ (שקליפתו משמשת להפקת תרופה)"
"call off","לבטל אירוע; לבטל פגישה; לדחות; להשהות; לצוות כלב להפסיק לתקוף; לצוות על אדם להפסיק לתקוף אדם אחר"
"called him to order","קרא לו לסדר, קרא אותו לסדר"
"calling card","כרטיס ביקור"
callosity,"יבלת; קשיחות-לב"
callous,"יבלת בעור (כמו callus)"
callus,"יבלת בעור; קבוצת תאי צמח שלא הובדלו המסוגלת לייצר צמח חדש מסוג מסוים (ביולוגיה)"
calmative,"מרגיע"
calory,"קלוריה (יחידת חום, יחידת אנרגיה)"
cambodian,"קמבודי, של קמבודיה (מדינה בדרום מזרח אסיה)"
"came apart","קרס תחתיו, התמוטט"
camel,"גמל; חום-צהבהב; מבדוק"
"camera shy","שלא אוהב להצטלם, לא רוצה שייצלמו אותו"
cameral,"של כספי הציבור"
campaign,"לנהל מסע (גם תעמולה)"
"campaign finance","מימון קמפיין, מימון מסע בחירות (באמצעות גיוס כספים, תרומות וכו')"
campaigning,"ניהול תעמולת בחירות"
camphorate,"קמפוראט (חומר המופק מקמפור)"
"can beat him hands down","קטן עליו, אוכל שניים כמוהו לארוחת-בוקר"
"can poisoning","רעלת שימורים"
"can't breathe","לא יכול לנשום"
"can't look him in the eyes","לא יכול להסתכל לו בעיניים"
"cancellation order","הוראת ביטול"
cancellus,"עמוד הפרדה בבזיליקה (בארכיטקטורה)"
candy,"ממתק, סוכריה"
cannery,"בית-חרושת לשימורים"
cannibalistically,"בצורה קניבלית (כמו אוכלי אדם)"
"cannon caliber","קוטר התותח"
canoeist,"משיט בוצית"
canon,"קאנון, קנון, חוקת הכנסייה; עקרון, קריטריון; רשימת הקדושים הנוצרים; כתבי הקודש הנוצריים; ספרי התנ&quot;ך בהם הכירה הכנסייה הנוצרית; כומר; (במוסיקה) קנון, יצירה מוסיקלית קונטרפונקטית (מורכבת משתי מנגינות המושמעות יחד) המבוססת על מנגינה אחת שזוכה לחיקוי בקולות נוספים באופן זהה"
canonically,"בצורה קנונית (בצורה המוסכמת והמקובלת)"
canonistic,"קנוניסטי (של החוק הקנוני, של מערכת החוקים המוסכמת)"
canthus,"זווית העין (באנטומיה)"
canzone,"(מוזיקה) קנצונה, שיר קליל בסגנון איטלקי מהמאה ה-16 עד למאה ה-18 המוקדמת הדומה למדריגל (גם canzona)"
cap,"כובע, כיפה; מכסה, פקק; &quot;קפצון&quot;; החלק העליון של פטרייה; (ברפואת שיניים) כתר"
capacious,"רחב-ידיים, מרווח"
capacity,"תכולה; קיבולת; מעמד, תפקיד"
capeline,"קסדת ברזל (בימי הביניים)"
capitation,"מס גולגולת"
caponata,"מאכל איטלקי מחציל קצוץ וירקות (עגבניות, בצל, צלפים) המבושל בשמן זית ומוגש על קרקרים או על לחם איטלקי כמתאבן"
capsicum,"פלפלת (צמח)"
"capture beam","קרן לוכדת"
caracul,"עור קרקול (סוג כבש אסייתי)"
caravansary,"פונדק"
carcinoembryonic,"קרצינואמבריוני, נמצא ברקמות סרטניות שונות וברקמות עובריות"
"card blocking","חסימת כרטיס (מניעת האפשרות להשתמש בכרטיס אשראי כדי למשוך כספים)"
cardigan,"קרדיגן, ג'קט צמר סרוג, סוודר ללא צווארון"
"cardinal significance","משמעות רבה, חשיבות מכרעת"
cardiophobia,"פחד לא-הגיוני ממחלת לב"
cardiospasm,"עווית הלב"
cardiotonic,"קרדיוטוני, בעל השפעה טונית על פעולת הלב"
cardioversion,"(רפואה) היפוך חשמלי, השבת קצב לב תקין על ידי הלם חשמלי"
carditis,"דלקת הלב"
careenage,"מבדוק, מקום להטיית אניות על צידן לשם שיפוץ ותיקון, עלות שיפוץ ותיקון אניות"
careful,"זהיר; מדקדק; קפדן"
"caretaker government","(בפוליטיקה) ממשלה של מעבר, ממשלה זמנית"
careworn,"אכול-דאגות"
carful,"כמות הגדולה ביותר שמכונית יכולה להכיל"
caries,"עששת, ריקבון"
carnallite,"קרנלייט"
carnassial,"מותאם לאכילת בשר (בזואולוגיה-לגבי שן)"
carol,"שיר הלל, שיר עליז"
carom,"לפגוע ולנתר לאחור"
carpel,"עלה של פרי"
carphology,"פריעת מצעי המיטה תוך כדי קדחת"
carpologist,"אדם המלומד ומיומן בקרפולוגיה; אדם המתאר פירות"
"cartridge belt","פונדה, תיק קטן המחובר ברצועות סביב המותניים"
cartwright,"בונה-כרכרות, אומן הבונה ומתקן כרכרות ועגלות"
cascading,"מדורג"
